PRELIMINARY PACT DEVELOPMENTS DIRECTORY as of 1/1/2026

1010 EAST 178TH STREET

## TOTAL UNITS: 220

**Borough:** BRONX

| BBL | BLDG# | M | ADDRESS | ZIP CODE | CD # | FC # | SS # | SA # | CC # | BIN# |
| 3018090062 | 5 | M | 515 GATES AVENUE | 11216 | 3 | 08 | 25 | 56 | 36 | 3322234 |
| 3018090062 | 6 |  | 495 GATES AVENUE | 11216 | 3 | 08 | 25 | 56 | 36 | 3050974 |

## TOTAL UNITS: 168

## TRANSFERRED DATE:

## AUDUBON

**Borough:** MANHATTAN

| BBL | BLDG# | M | ADDRESS | ZIP CODE | CD # | FC # | SS # | SA # | CC # | BIN# |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 1020680046 | 1 | M | 1909 AMSTERDAM AVENUE | 10032 | 9 | 13 | 30 | 71 | 07 | 1061681 |

## TRANSFERRED DATE:

BAILEY AVENUE-WEST 193RD STREET

## TOTAL UNITS: 233

**Borough:** BRONX

| BBL | BLDG# | M | ADDRESS | ZIP CODE | CD # | FC # | SS # | SA # | CC # | BIN# |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 2032390004 | 1 |  | 2661 HEATH AVENUE | 10463 | 7 | 13 | 31 | 86 | 14 | 2092440 |
| 2032390004 | 1 |  | 230 WEST 193RD STREET | 10463 | 7 | 13 | 31 | 86 | 14 | 2092440 |
| 2032390004 | 1 | M | 2663 HEATH AVENUE | 10463 | 7 | 13 | 31 | 86 | 14 | 2092440 |
| 2032390004 | 1 |  | 2667 HEATH AVENUE | 10463 | 7 | 13 | 31 | 86 | 14 | 2092440 |
| 2032390004 | 1 |  | 2660 BAILEY AVENUE | 10463 | 7 | 13 | 31 | 86 | 14 | 2092440 |

## TOTAL UNITS: 1,610

## TRANSFERRED DATE:

BAY VIEW

**Borough:** BROOKLYN

| BBL | BLDG# | M | ADDRESS | ZIP CODE | CD # | FC # | SS # | SA # | CC # | BIN# |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 3083290225 | 1 | M | 2045 ROCKAWAY PARKWAY | 11236 | 18 | 08 | 19 | 59 | 46 | 3331421 |
| 3083290225 | 10 | M | 2105 ROCKAWAY PARKWAY | 11236 | 18 | 08 | 19 | 59 | 46 | 3331432 |
| 3083290225 | 11 | M | 2085 ROCKAWAY PARKWAY | 11236 | 18 | 08 | 19 | 59 | 46 | 3331431 |
| 3083290225 | 12 | M | 1580 EAST 102ND STREET | 11236 | 18 | 08 | 19 | 59 | 46 | 3331429 |
