address,zipcode,development,managedBy,communityDistrict,block,lot,bin
733 SNEDIKER AVENUE,11207,FHA REPOSSESSED HOUSES(GROUPV),BAISLEY PARK,5,03874,0007,3086027
1835 STERLING PLACE,11233,PROSPECT PLAZA PHASE III,"CORNELL PLACE, INC",16,01467,7501,3324687
50 STUYVESANT AVENUE,11221,ROOSEVELT II,ROOSEVELT,3,01595,0024,3341752
51 STUYVESANT AVENUE,11221,ROOSEVELT II,ROOSEVELT,3,01596,0001,3000000
52 STUYVESANT AVENUE,11221,ROOSEVELT II,ROOSEVELT,3,01595,0024,3341752
296 SUTTER AVENUE,11212,BROWNSVILLE,BROWNSVILLE,16,03544,0001,3326516
300 SUTTER AVENUE,11212,BROWNSVILLE,BROWNSVILLE,16,03544,0001,3326516
301 SUTTER AVENUE,11212,HUGHES APARTMENTS,HUGHES APARTMENTS,16,03526,0021,3348344
303 SUTTER AVENUE,11212,HUGHES APARTMENTS,HUGHES APARTMENTS,16,03526,0021,3348344
305G AR SUTTER AVENUE,11212,HUGHES APARTMENTS,HUGHES APARTMENTS,16,03526,0021,3388153
305 SUTTER AVENUE,11212,HUGHES APARTMENTS,HUGHES APARTMENTS,16,03526,0021,3333397
307 SUTTER AVENUE,11212,HUGHES APARTMENTS,HUGHES APARTMENTS,16,03526,0021,3333397
308 SUTTER AVENUE,11212,BROWNSVILLE,BROWNSVILLE,16,03544,0001,3326517
315 SUTTER AVENUE,11212,HUGHES APARTMENTS,HUGHES APARTMENTS,16,03526,0021,3333397
317 SUTTER AVENUE,11212,HUGHES APARTMENTS,HUGHES APARTMENTS,16,03526,0021,3333397
335 SUTTER AVENUE,11212,HUGHES APARTMENTS,HUGHES APARTMENTS,16,03526,0021,3333398
337 SUTTER AVENUE,11212,HUGHES APARTMENTS,HUGHES APARTMENTS,16,03526,0021,3333398
362 SUTTER AVENUE,11212,VAN DYKE I,VAN DYKE I,16,03760,0001,3328028
364 SUTTER AVENUE,11212,VAN DYKE I,VAN DYKE I,16,03760,0001,3328029
366 SUTTER AVENUE,11212,VAN DYKE I,VAN DYKE I,16,03760,0001,3328029
382 SUTTER AVENUE,11212,VAN DYKE I,VAN DYKE I,16,03760,0001,3328030
390 SUTTER AVENUE,11212,VAN DYKE I,VAN DYKE I,16,03760,0001,3328030
410 SUTTER AVENUE,11212,VAN DYKE I,VAN DYKE I,16,03760,0001,3328031
412 SUTTER AVENUE,11212,VAN DYKE I,VAN DYKE I,16,03760,0001,3328031
414 SUTTER AVENUE,11212,VAN DYKE I,VAN DYKE I,16,03760,0001,3328032
61 THATFORD AVENUE,11212,HOWARD,HOWARD,16,03489,0001,3424540
17 VANDALIA AVENUE,11239,VANDALIA AVENUE,VANDALIA AVENUE,5,04431,0100,3348858
47 VANDALIA AVENUE,11239,VANDALIA AVENUE,VANDALIA AVENUE,5,04431,0100,3348859
77 VANDALIA AVENUE,11239,VANDALIA AVENUE,VANDALIA AVENUE,5,04431,0100,3348860
71 WAVERLY AVENUE,11205,FHA REPOSSESSED HOUSES(GROUP IX),BAISLEY PARK,2,01889,0036,3054365
71 WAVERLY AVENUE,11205,FHA REPOSSESSED HOUSES(GROUP IX),BAISLEY PARK,2,01889,0036,3054365
71 WAVERLY AVENUE,11205,FHA REPOSSESSED HOUSES(GROUP IX),BAISLEY PARK,2,01889,0036,3054365
75 WAVERLY AVENUE,11205,FHA REPOSSESSED HOUSES(GROUP IX),BAISLEY PARK,2,01889,0034,3054363
75 WAVERLY AVENUE,11205,FHA REPOSSESSED HOUSES(GROUP IX),BAISLEY PARK,2,01889,0034,3054363
75 WAVERLY AVENUE,11205,FHA REPOSSESSED HOUSES(GROUP IX),BAISLEY PARK,2,01889,0034,3054363
2292 WEST 8TH STREET,11223,MARLBORO,MARLBORO,13,07140,0016,3322172
2294 WEST 8TH STREET,11223,MARLBORO,MARLBORO,13,07140,0016,3322179
2298 WEST 8TH STREET,11223,MARLBORO,MARLBORO,13,07140,0016,3322179
2304 WEST 8TH STREET,11223,MARLBORO,MARLBORO,13,07140,0016,3322180
2326 WEST 8TH STREET,11223,MARLBORO,MARLBORO,13,07140,0016,3322181
2328 WEST 8TH STREET,11223,MARLBORO,MARLBORO,13,07140,0016,3322182
2336 WEST 8TH STREET,11223,MARLBORO,MARLBORO,13,07140,0016,3322183
2352 WEST 8TH STREET,11223,MARLBORO,MARLBORO,13,07140,0016,3322184
2218 WEST 11TH STREET,11223,MARLBORO,MARLBORO,13,07137,0001,3322156
2220 WEST 11TH STREET,11223,MARLBORO,MARLBORO,13,07137,0001,3322156
2250 WEST 11TH STREET,11223,MARLBORO,MARLBORO,13,07137,0001,3322157
2257 WEST 11TH STREET,11223,MARLBORO,MARLBORO,13,07140,0016,3322168
2295 WEST 11TH STREET,11223,MARLBORO,MARLBORO,13,07140,0016,3322169
2331 WEST 11TH STREET,11223,MARLBORO,MARLBORO,13,07140,0016,3322170
2369 WEST 11TH STREET,11223,MARLBORO,MARLBORO,13,07140,0016,3322171
2964 WEST 23RD STREET,11224,CAREY GARDENS,CAREY GARDENS,13,07056,0014,3321840
2953 WEST 24TH STREET,11224,CAREY GARDENS,CAREY GARDENS,13,07056,0014,3321839
2955 WEST 24TH STREET,11224,CAREY GARDENS,CAREY GARDENS,13,07056,0014,3321839
3018 WEST 24TH STREET,11224,HABER,CAREY GARDENS,13,07070,0001,3322050
3020 WEST 24TH STREET,11224,HABER,CAREY GARDENS,13,07070,0001,3322050
3024 WEST 24TH STREET,11224,HABER,CAREY GARDENS,13,07070,0001,3322050
3040 WEST 24TH STREET,11224,HABER,CAREY GARDENS,13,07070,0001,3322052
3058 WEST 24TH STREET,11224,HABER,CAREY GARDENS,13,07070,0001,3322052
3060 WEST 24TH STREET,11224,HABER,CAREY GARDENS,13,07070,0001,3322052
2926 WEST 25TH STREET,11224,CONEY ISLAND L(SITES 4 &amp; 5),SURESIDE GARDENS,13,07053,0014,3385303
2925 WEST 27TH STREET,11224,CONEY ISLAND I(SITES4&amp;5),SURFSIDE GARDENS,13,07053,0014,3385303
2923GAR WEST 28TH STREET,11224,CONEY ISLAND I(SITES4&amp;5),SURFSIDE GARDENS,13,07053,0014,3388343
2923 WEST 28TH STREET,11224,CONEY ISLAND I(SITES4&amp;5),SURFSIDE GARDENS,13,07053,0014,3385303
2925 WEST 28TH STREET,11224,CONEY ISLAND I(SITES4&amp;5),SURFSIDE GARDENS,13,07053,0014,3385303
2927 WEST 28TH STREET,11224,CONEY ISLAND I(SITES4&amp;5),SURFSIDE GARDENS,13,07053,0014,3385303
2943 WEST 28TH STREET,11224,CONEY ISLAND I(SITES4&amp;5),SURFSIDE GARDENS,13,07053,0014,3385303
2945 WEST 28TH STREET,11224,CONEY ISLAND I(SITES4&amp;5),SURFSIDE GARDENS,13,07053,0014,3385303
2947 WEST 28TH STREET,11224,CONEY ISLAND I(SITES4&amp;5),SURFSIDE GARDENS,13,07053,0014,3385303
2949 WEST 28TH STREET,11224,CONEY ISLAND I(SITES4&amp;5),SURFSIDE GARDENS,13,07053,0014,3385303
3028 WEST 29TH STREET,11224,CONEY ISLAND,SURFSIDE GARDENS,13,07067,0001,3322046
2820 WEST 32ND STREET,11224,SURFSIDE GARDENS,SURFSIDE GARDENS,13,07007,0001,3321616
2822 WEST 32ND STREET,11224,SURFSIDE GARDENS,SURFSIDE GARDENS,13,07007,0001,3321616
2832 WEST 32ND STREET,11224,SURFSIDE GARDENS,SURFSIDE GARDENS,13,07007,0001,3000000
2976 WEST 32ND STREET,11224,O'DWYER GARDENS,O'DWYER GARDENS,13,07048,0015,3000000
3025 WEST 32ND STREET,11224,CONEY ISLAND,SURFSIDE GARDENS,13,07067,0001,3322043
2950 WEST 35TH STREET,11224,CONEY ISLAND I (SITE8),O'DWYER GARDENS,13,07046,0022,3189511
2950 WEST 35TH STREET,11224,CONEY ISLAND I (SITE8),O'DWYER GARDENS,13,07046,0022,3189511
2971 WEST 35TH STREET,11224,O'DWYER GARDENS,O'DWYER GARDENS,13,07047,0014,3000000
925 WILLIAMS AVENUE,11207,BREUKELEN,NYC DEPT OF PARKS,18,08158,0040,
926 WILLIAMS AVENUE,11207,BREUKELEN,BREUKELEN,18,08158,0001,3331302
928 WILLIAMS AVENUE,11207,BREUKELEN,BREUKELEN,18,08158,0001,3331302
930 WILLIAMS AVENUE,11207,BREUKELEN,BREUKELEN,18,08158,0001,3331302
932 WILLIAMS AVENUE,11207,BREUKELEN,BREUKELEN,18,08158,0001,3331302
968 WILLIAMS AVENUE,11207,BREUKELEN,BREUKELEN,18,08158,0001,3331300
970 WILLIAMS AVENUE,11207,BREUKELEN,BREUKELEN,18,08158,0001,3331300
972 WILLIAMS AVENUE,11207,BREUKELEN,BREUKELEN,18,08158,0001,3331300
974 WILLIAMS AVENUE,11207,BREUKELEN,BREUKELEN,18,08158,0001,3331300
992 WILLIAMS AVENUE,11207,BREUKELEN,BREUKELEN,18,08158,0205,3321347
994 WILLIAMS AVENUE,11207,BREUKELEN,BREUKELEN,18,08158,0205,3321347
996 WILLIAMS AVENUE,11207,BREUKELEN,BREUKELEN,18,08158,0205,3321347
998 WILLIAMS AVENUE,11207,BREUKELEN,BREUKELEN,18,08158,0205,3321347
999 WILLIAMS AVENUE,11207,BREUKELEN,NYC DEPT OF PARKS,18,08158,0150,3000000
626 WYTHE PLACE,11249,TAYLOR STREET-WYTHE AVENUE,TAYLOR STREET-WYTHE AVENUE,1,02175,0070,3059901
628 WYTHE PLACE,11249,TAYLOR STREET-WYTHE AVENUE,TAYLOR STREET-WYTHE AVENUE,1,02175,0070,3059901
632 WYTHE PLACE,11249,TAYLOR STREET-WYTHE AVENUE,TAYLOR STREET-WYTHE AVENUE,1,02175,0070,3059901
634 WYTHE PLACE,11249,TAYLOR STREET-WYTHE AVENUE,TAYLOR STREET-WYTHE AVENUE,1,02175,0070,3059901
636 WYTHE PLACE,11249,TAYLOR STREET-WYTHE AVENUE,TAYLOR STREET-WYTHE AVENUE,1,02175,0070,3059901
638 WYTHE PLACE,11249,TAYLOR STREET-WYTHE AVENUE,TAYLOR STREET-WYTHE AVENUE,1,02175,0070,3059901
1345 5TH AVENUE,10029,TAFT,TAFT,11,01618,0001,1080500
1350 5TH AVENUE,10026,KING TOWERS,KING TOWERS,10,01596,0001,1083309
1365 5TH AVENUE,10029,TAFT,TAFT,11,01618,0001,1080501
1367 5TH AVENUE,10029,TAFT,TAFT,11,01618,0001,1080501
1370 5TH AVENUE,10026,KING TOWERS,KING TOWERS,10,01596,0001,1083315
1385 5TH AVENUE,10029,TAFT,TAFT,11,01618,0001,1080508
1390 5TH AVENUE,10026,KING TOWERS,KING TOWERS,10,01596,0001,1083316
2175 5TH AVENUE,10037,LINCOLN,LINCOLN,11,01757,0001,1081110
2177 5TH AVENUE,10037,LINCOLN,LINCOLN,11,01757,0001,1081110
2199 5TH AVENUE,10037,LINCOLN,LINCOLN,11,01757,0001,1081111
2201 5TH AVENUE,10037,LINCOLN,LINCOLN,11,01757,0001,1081111
2160 A C POWELL BOULEVARD,10027,SAINT NICHOLAS,NYC DEPT OF PARKS,10,01933,0001,1081506
2200 A C POWELL BOULEVARD,10027,SAINT NICHOLAS,NYC DEPT OF PARKS,10,01933,0050,1090780
2430 A C POWELL BOULEVARD,10030,DREW-HAMILTON,DREW-HAMILTON,10,02027,0025,1086083
2444 A C POWELL BOULEVARD,10030,DREW-HAMILTON,DREW-HAMILTON,10,02028,0016,1060430
2446 A C POWELL BOULEVARD,10030,DREW-HAMILTON,DREW-HAMILTON,10,02028,0016,1060430
2448 A C POWELL BOULEVARD,10030,DREW-HAMILTON,DREW-HAMILTON,10,02028,0016,1060430
2450 A C POWELL BOULEVARD,10030,DREW-HAMILTON,DREW-HAMILTON,10,02028,0016,1060430
2452 A C POWELL BOULEVARD,10030,DREW-HAMILTON,DREW-HAMILTON,10,02028,0016,1060430
2454 A C POWELL BOULEVARD,10030,DREW-HAMILTON,DREW-HAMILTON,10,02028,0016,1060430
29 AVENUE A,10009,FIRST HOUSES,LOWER EAST SIDE CONSOLIDATED,3,00430,0010,1077959
31 AVENUE A,10009,FIRST HOUSES,LOWER EAST SIDE CONSOLIDATED,3,00430,0010,1077958
33 AVENUE A,10009,FIRST HOUSES,LOWER EAST SIDE CONSOLIDATED,3,00430,0010,1077956
35 AVENUE A,10009,FIRST HOUSES,LOWER EAST SIDE CONSOLIDATED,3,00430,0010,1077956
37 AVENUE A,10009,FIRST HOUSES,LOWER EAST SIDE CONSOLIDATED,3,00430,0010,1077955
39 AVENUE A,10009,FIRST HOUSES,LOWER EAST SIDE CONSOLIDATED,3,00430,0010,1077953
41 AVENUE A,10009,FIRST HOUSES,LOWER EAST SIDE CONSOLIDATED,3,00430,0010,1077953
76 AVENUE C,10009,LOWER EAST SIDE II,LOWER EAST SIDE CONSOLIDATED,3,00375,0001,1075623
80 AVENUE C,10009,LOWER EAST SIDE II,LOWER EAST SIDE CONSOLIDATED,3,00375,0001,1075623
84 AVENUE C,10009,LOWER EAST SIDE II,LOWER EAST SIDE CONSOLIDATED,3,00375,0001,1075623
89 AVENUE C,10009,LOWER EAST SIDE REHAB(GROUP 5),LOWER EAST SIDE CONSOLIDATED,3,00389,0036,1004688
97 AVENUE C,10009,LOWER EAST SIDE REHAB(GROUP 5),LOWER EAST SIDE CONSOLIDATED,3,00389,0036,1004688
99 AVENUE C,10009,LOWER EAST SIDE REHAB(GROUP 5),LOWER EAST SIDE CONSOLIDATED,3,00389,0032,1004687
103 AVENUE C,10009,LOWER EAST SIDE REHAB(GROUP 5),LOWER EAST SIDE CONSOLIDATED,3,00389,0032,1004687
130 AVENUE C,10009,POLICE SERVICE AREA #4,NYPD HOUSING BUREAU,3,00378,0001,1075834
154 BROOME STREET,10002,SEWARD PARK EXTENSION,GOMPERS,3,00347,0080,1004158
156 BROOME STREET,10002,SEWARD PARK EXTENSION,GOMPERS,3,00347,0080,1004158
10 CATHERINE SLIP,10038,SMITH,SMITH,3,00111,0100,1077411
20 CATHERINE SLIP,10038,SMITH,SMITH,3,00111,0100,1077410
54 CATHERINE STREET,10038,SMITH,SMITH,3,00111,0100,1077421
60 CATHERINE STREET,10038,SMITH,SMITH,3,00111,0100,1077421
90 CHURCH STREET,10007,NON DEVELOPMENT FACILITY,RENTED PROPERTY,1,00086,0001,1001230
225 CLINTON STREET,10002,LA GUARDIA,LA GUARDIA,3,00256,0001,1077518
230 CLINTON STREET,10002,LA GUARDIA,LA GUARDIA,3,00258,0001,1083384
235 CLINTON STREET,10002,LA GUARDIA,LA GUARDIA,3,00256,0001,1090060
250 CLINTON STREET,10002,LA GUARDIA,LA GUARDIA,3,00258,0001,1083387
254 CLINTON STREET,10002,TWO BRIDGES URA(SITE 7),LA GUARDIA,3,00245,0001,
280 DELANCEY STREET,10002,BARUCH,BARUCH,3,00323,0001,1078039
288 DELANCEY STREET,10002,BARUCH,BARUCH,3,00323,0001,1078038
292 DELANCEY STREET,10002,BARUCH,BARUCH,3,00323,0001,1078038
294 DELANCEY STREET,10002,BARUCH,BARUCH,3,00323,0001,1078038
296 DELANCEY STREET,10002,BARUCH,BARUCH,3,00323,0001,1078037
298 DELANCEY STREET,10002,BARUCH,BARUCH,3,00323,0001,1078037
300 DELANCEY STREET,10002,BARUCH,BARUCH,3,00323,0001,1078037
308 DELANCEY STREET,10002,BARUCH,BARUCH,3,00323,0001,1083421
312 DELANCEY STREET,10002,BARUCH,BARUCH,3,00323,0001,1083421
114 EAST 3RD STREET,10009,FIRST HOUSES,LOWER EAST SIDE CONSOLIDATED,3,00430,0010,1077944
118 EAST 3RD STREET,10009,FIRST HOUSES,LOWER EAST SIDE CONSOLIDATED,3,00430,0010,1077945
126 EAST 3RD STREET,10009,FIRST HOUSES,LOWER EAST SIDE CONSOLIDATED,3,00430,0010,1077948
130 EAST 3RD STREET,10009,FIRST HOUSES,LOWER EAST SIDE CONSOLIDATED,3,00430,0010,1077949
136 EAST 3RD STREET,10009,FIRST HOUSES,LOWER EAST SIDE CONSOLIDATED,3,00430,0010,1077952
138 EAST 3RD STREET,10009,FIRST HOUSES,LOWER EAST SIDE CONSOLIDATED,3,00430,0010,1077952
251 EAST 3RD STREET,10009,BRACETTI PLAZA,LOWER EAST SIDE CONSOLIDATED,3,00386,0033,1004617
253 EAST 3RD STREET,10009,BRACETTI PLAZA,LOWER EAST SIDE CONSOLIDATED,3,00386,0033,1004617
255 EAST 3RD STREET,10009,BRACETTI PLAZA,LOWER EAST SIDE,3,00386,0033,1004617
614 EAST 5TH STREET,10009,LOWER EAST SIDE II,LOWER EAST SIDE CONSOLIDATED,3,00387,0017,1075624
620 EAST 5TH STREET,10009,LOWER EAST SIDE II,LOWER EAST SIDE CONSOLIDATED,3,00387,0020,1075625
624 EAST 5TH STREET,10009,LOWER EAST SIDE II,LOWER EAST SIDE CONSOLIDATED,3,00387,0020,1075625
628 EAST 5TH STREET,10009,LOWER EAST SIDE II,LOWER EAST SIDE CONSOLIDATED,3,00387,0020,1075625
632 EAST 5TH STREET,10009,LOWER EAST SIDE II,LOWER EAST SIDE CONSOLIDATED,3,00387,0020,1075625
636 EAST 5TH STREET,10009,LOWER EAST SIDE II,LOWER EAST SIDE CONSOLIDATED,3,00387,0020,1075625
637 EAST 5TH STREET,10009,LOWER EAST SIDE II,LOWER EAST SIDE CONSOLIDATED,3,00387,0144,1075627
640 EAST 5TH STREET,10009,LOWER EAST SIDE II,LOWER EAST SIDE CONSOLIDATED,3,00387,0020,1075625
641 EAST 5TH STREET,10009,LOWER EAST SIDE II,LOWER EAST SIDE CONSOLIDATED,3,00387,0144,1075627
644 EAST 5TH STREET,10009,LOWER EAST SIDE II,LOWER EAST SIDE CONSOLIDATED,3,00387,0033,1087354
645 EAST 5TH STREET,10009,LOWER EAST SIDE II,LOWER EAST SIDE CONSOLIDATED,3,00387,0144,1075627
649 EAST 5TH STREET,10009,LOWER EAST SIDE II,LOWER EAST SIDE CONSOLIDATED,3,00387,0144,1075627
705 EAST 5TH STREET,10009,LOWER EAST SIDE II,LOWER EAST SIDE CONSOLIDATED,3,00375,0001,1075623
709 EAST 5TH STREET,10009,LOWER EAST SIDE II,LOWER EAST SIDE CONSOLIDATED,3,00375,0063,1075622
713 EAST 5TH STREET,10009,LOWER EAST SIDE II,LOWER EAST SIDE CONSOLIDATED,3,00375,0063,1075622
721 EAST 5TH STREET,10009,LOWER EAST SIDE II,LOWER EAST SIDE CONSOLIDATED,3,00375,0045,1075621
725 EAST 5TH STREET,10009,LOWER EAST SIDE II,LOWER EAST SIDE CONSOLIDATED,3,00375,0045,1075621
729 EAST 5TH STREET,10009,LOWER EAST SIDE II,LOWER EAST SIDE CONSOLIDATED,3,00375,0045,1075621
733 EAST 5TH STREET,10009,LOWER EAST SIDE II,LOWER EAST SIDE CONSOLIDATED,3,00375,0045,1075621
737 EAST 5TH STREET,10009,LOWER EAST SIDE II,LOWER EAST SIDE CONSOLIDATED,3,00375,0045,1075621
741 EAST 5TH STREET,10009,LOWER EAST SIDE II,LOWER EAST SIDE CONSOLIDATED,3,00375,0045,1075621
745 EAST 6TH STREET,10009,LOWER EAST SIDE II,LOWER EAST SIDE CONSOLIDATED,3,00375,.0045,1075621
639 EAST 6TH STREET,10009,LOWER EAST SIDE REHAB (GROUP 5),LOWER EAST SIDE CONSOLIDATED,3,00389,.0041,1000000
640 EAST 6TH STREET,10009,LOWER EAST SIDE II,LOWER EAST SIDE CONSOLIDATED,3,00387,.0129,1084354
641 EAST 6TH STREET,10009,LOWER EAST SIDE REHAB (GROUP 5),LOWER EAST SIDE CONSOLIDATED,3,00389,.0040,1000000
643 EAST 6TH STREET,10009,LOWER EAST SIDE REHAB (GROUP 5),LOWER EAST SIDE CONSOLIDATED,3,00389,.0038,1004689
644 EAST 6TH STREET,10009,LOWER EAST SIDE II,LOWER EAST SIDE CONSOLIDATED,3,00387,.0131,1084636
704 EAST 6TH STREET,10009,LOWER EAST SIDE II,LOWER EAST SIDE CONSOLIDATED,3,00375,.0001,1075623
708 EAST 6TH STREET,10009,LOWER EAST SIDE II,LOWER EAST SIDE CONSOLIDATED,3,00375,.0001,1075623
712 EAST 6TH STREET,10009,LOWER EAST SIDE II,LOWER EAST SIDE CONSOLIDATED,3,00375,.0001,1075623
716 EAST 6TH STREET,10009,LOWER EAST SIDE II,LOWER EAST SIDE CONSOLIDATED,3,00375,.0001,1075623
720 EAST 6TH STREET,10009,LOWER EAST SIDE II,LOWER EAST SIDE CONSOLIDATED,3,00375,.0001,1075623
724 EAST 6TH STREET,10009,LOWER EAST SIDE II,LOWER EAST SIDE CONSOLIDATED,3,00375,.0001,1075623
728 EAST 6TH STREET,10009,LOWER EAST SIDE II,LOWER EAST SIDE CONSOLIDATED,3,00375,.0001,1075623
732 EAST 6TH STREET,10009,LOWER EAST SIDE II,LOWER EAST SIDE CONSOLIDATED,3,00375,.0001,1075623
748 EAST 6TH STREET,10009,LOWER EAST SIDE II,LOWER EAST SIDE CONSOLIDATED,3,00375,.0033,1000000
750 EAST 6TH STREET,10009,LOWER EAST SIDE II,LOWER EAST SIDE CONSOLIDATED,3,00375,.0034,1000000
752 EAST 6TH STREET,10009,LOWER EAST SIDE II,LOWER EAST SIDE CONSOLIDATED,3,00375,.0035,1000000
807 EAST 6TH STREET,10009,RIIS II,RIIS,3,00362,.0001,1077552
809 EAST 6TH STREET,10009,RIIS II,RIIS,3,00362,.0001,1077552
714 EAST 9TH STREET,10009,POLICE SERVICE AREA #4,NYPD HOUSING BUREAU,3,00378,0001,1075834
716 EAST 9TH STREET,10009,POLICE SERVICE AREA #4,NYPD HOUSING BUREAU,3,00378,0001,1075834
718 EAST 9TH STREET,10009,POLICE SERVICE AREA #4,NYPD HOUSING BUREAU,3,00378,0001,1075834
722 EAST 9TH STREET,10009,LOWER EAST SIDE III,KRAUS MANAGEMENT(PRIVATE-M/B1),3,00378,0017,1084876
734A EAST 9TH STREET,10009,LOWER EAST SIDE III,KRAUS MANAGEMENT(PRIVATE-M/B1),3,00378,0017,1088343
740 EAST 9TH STREET,10009,LOWER EAST SIDE III,KRAUS MANAGEMENT(PRIVATE-M/B1),3,00378,0017,1084876
341 EAST 70TH STREET,10021,ROBBINS PLAZA,ISAACS,8,01445,0023,1044841
343 EAST 70TH STREET,10021,ROBBINS PLAZA,ISAACS,8,01445,0023,1044841
405 EAST 92ND STREET,10128,HOLMES TOWERS,ISAACS,8,01573,0020,1085246
437 EAST 92ND STREET,10128,HOLMES TOWERS,ISAACS,8,01573,0020,1085246
219 EAST 97TH STREET,10029,WASHINGTON,WASHINGTON,11,01647,0001,1079202
115 EAST 98TH STREET,10029,LEXINGTON,WASHINGTON,11,01626,0001,1078911
183 EAST 98TH STREET,10029,LEXINGTON,WASHINGTON,11,01626,0021,1082320
185 EAST 98TH STREET,10029,LEXINGTON,WASHINGTON,11,01626,0021,1082320
187 EAST 98TH STREET,10029,LEXINGTON,WASHINGTON,11,01626,0021,1082320
55 EAST 99TH STREET,10029,CARVER,CARVER,11,01605,0024,1082312
65 EAST 99TH STREET,10029,CARVER,CARVER,11,01605,0024,1082313
110 EAST 99TH STREET,10029,LEXINGTON,WASHINGTON,11,01626,0001,1078911
205 EAST 99TH STREET,10029,WASHINGTON,NYC DEPT OF PARKS,11,01649,0001,1083463
216 EAST 99TH STREET,10029,WASHINGTON,WASHINGTON,11,01647,0001,1082345
225 EAST 99TH STREET,10029,WASHINGTON,WASHINGTON,11,01649,0001,1074265
445 EAST 102ND STREET,10029,EAST RIVER,EAST RIVER,11,01696,0001,1083942
451 EAST 102ND STREET,10029,EAST RIVER,EAST RIVER,11,01696,0001,1083942
453 EAST 102ND STREET,10029,EAST RIVER,EAST RIVER,11,01696,0001,1083942
455 EAST 102ND STREET,10029,EAST RIVER,EAST RIVER,11,01696,0001,1083942
450 EAST 103RD STREET,10029,EAST RIVER,NYC DEPT OF PARKS,0,01696,0100,
107 EAST 105TH STREET,10029,CLINTON,CLINTON,11,01633,0001,1051990
400 EAST 105TH STREET,10029,EAST RIVER,EAST RIVER,11,01696,0001,1083941
402 EAST 105TH STREET,10029,EAST RIVER,EAST RIVER,11,01696,0001,1083941
404 EAST 105TH STREET,10029,EAST RIVER,EAST RIVER,11,01696,0001,1083941
405 EAST 105TH STREET,10029,WILSON,WILSON,11,01699,0001,1079367
407 EAST 105TH STREET,10029,WILSON,WILSON,11,01699,0001,1079367
410 EAST 105TH STREET,10029,EAST RIVER,EAST RIVER,11,01696,0001,1083946
414 EAST 105TH STREET,10029,EAST RIVER,EAST RIVER,11,01696,0001,1083946
416 EAST 105TH STREET,10029,EAST RIVER,EAST RIVER,11,01696,0001,1083946
418 EAST 105TH STREET,10029,EAST RIVER,EAST RIVER,11,01696,0001,1083946
420 EAST 105TH STREET,10029,EAST RIVER,EAST RIVER,11,01696,0001,1083946
425 EAST 105TH STREET,10029,WILSON,WILSON,11,01699,0001,1079368
430 EAST 105TH STREET,10029,EAST RIVER,EAST RIVER,11,01696,0001,1083947
432 EAST 105TH STREET,10029,EAST RIVER,EAST RIVER,11,01696,0001,1083947
434 EAST 105TH STREET,10029,EAST RIVER,EAST RIVER,11,01696,0001,1083947
435 EAST 105TH STREET,10029,WILSON,WILSON,11,01699,0001,1079369
440 EAST 105TH STREET,10029,EAST RIVER,EAST RIVER,11,01696,0001,1083949
442 EAST 105TH STREET,10029,EAST RIVER,EAST RIVER,11,01696,0001,1083950
444 EAST 105TH STREET,10029,EAST RIVER,EAST RIVER,11,01696,0001,1083950
446 EAST 105TH STREET,10029,EAST RIVER,EAST RIVER,11,01696,0001,1083950
448 EAST 105TH STREET,10029,EAST RIVER,EAST RIVER,11,01696,0001,1083950
110 EAST 109TH STREET,10029,CLINTON,CLINTON,11,01636,0001,1078924
80 EAST 110TH STREET,10029,LEHMAN VILLAGE,LEHMAN VILLAGE,11,01615,0023,1078868
82 EAST 110TH STREET,10029,LEHMAN VILLAGE,LEHMAN VILLAGE,11,01615,0023,1078868
120 EAST 110TH STREET,10029,CLINTON,CLINTON,11,01637,0001,1078931
70 EAST 115TH STREET,10029,TAFT,TAFT,11,01620,0023,1080643
130 EAST 115TH STREET,10029,JOHNSON,JOHNSON,11,01640,0001,1079198
210 EAST 115TH STREET,10029,JEFFERSON,JEFFERSON,11,01662,0001,1080705
218 EAST 115TH STREET,10029,JEFFERSON,JEFFERSON,11,01662,0001,1080706
220 EAST 115TH STREET,10029,JEFFERSON,JEFFERSON,11,01662,0001,1080706
228 EAST 115TH STREET,10029,JEFFERSON,JEFFERSON,11,01662,0001,1080707
230 EAST 115TH STREET,10029,JEFFERSON,JEFFERSON,11,01662,0001,1080707
300 EAST 115TH STREET,10029,JEFFERSON,JEFFERSON,11,01684,0001,1081086
310 EAST 115TH STREET,10029,JEFFERSON,JEFFERSON,11,01684,0001,1081086
310G AR EAST 115TH STREET,10029,JEFFERSON,JEFFERSON,11,01684,0001,1081087
320 EAST 115TH STREET,10029,JEFFERSON,JEFFERSON,11,01684,0001,1081088
322 EAST 115TH STREET,10029,JEFFERSON,JEFFERSON,11,01684,0001,1081088
330 EAST 115TH STREET,10029,JEFFERSON,JEFFERSON,11,01684,0001,1081089
332 EAST 115TH STREET,10029,JEFFERSON,JEFFERSON,11,01684,0001,1081089
435 EAST 120TH STREET,10035,WAGNER,WAGNER,11,01808,0001,1081287
445 EAST 120TH STREET,10035,WAGNER,WAGNER,11,01808,0001,1081287
451 EAST 120TH STREET,10035,WAGNER,WAGNER,11,01808,0001,1081290
505 EAST 120TH STREET,10035,WAGNER,WAGNER,11,01808,0001,1081286
60 EAST 135TH STREET,10037,LINCOLN,LINCOLN,11,01757,0020,1081120
